test_location,study,part_id,cond,coding_missing,lang_group,study_dom,lang_mix_score,child_dom_lang,lang_per_en,lang_per_fr,lang_per_sp,lang_per_ot,lang_name_ot,lang_per_dom,lang_per_ndom,gender,age_days,meanLT_log,sdLT_log,meanLT,sdLT,N
Montreal,1,P20,single,NA,bilingual,dominant,0,French,31,69,NA,0,NA,69,31,male,268,2.356009923053385,0.3529580276447952,11.155,4.167068171131491,8
Montreal,1,P20,switched,NA,bilingual,dominant,0,French,31,69,NA,0,NA,69,31,male,268,2.0589867911819444,0.6660445467713048,9.3825,5.611604685190961,8
Montreal,2,P20,single,NA,bilingual,dominant,0,French,31,69,NA,0,NA,69,31,male,268,1.8379101311754544,0.3535299715024532,6.577500000000001,2.256625430445499,4
Montreal,2,P20,switched,NA,bilingual,dominant,0,French,31,69,NA,0,NA,69,31,male,268,2.1779923562255736,0.5584050226662762,10.052,5.972174645805328,5
Montreal,1,P21,single,NA,monolingual,dominant,1,English,100,0,NA,0,NA,100,0,female,273,2.0016548679199406,0.7627648513530506,8.91,5.440079656279553,4
Montreal,1,P21,switched,NA,monolingual,dominant,1,English,100,0,NA,0,NA,100,0,female,273,1.8779291378920246,0.710658895598934,8.202857142857143,6.13699903396254,7
Montreal,2,P21,single,NA,monolingual,dominant,1,English,100,0,NA,0,NA,100,0,female,273,2.5037650036982604,0.455243700092533,13.27125,5.242042779298925,8
Montreal,2,P21,switched,NA,monolingual,dominant,1,English,100,0,NA,0,NA,100,0,female,273,2.2399849125939513,0.7517189691343866,11.41375,6.259888035283516,8
Montreal,1,P22,single,NA,monolingual,dominant,4,French,0,100,NA,0,NA,100,0,male,258,1.6138977210660654,0.4712423130271065,5.609999999999999,3.238200558511294,8
Montreal,1,P22,switched,NA,monolingual,dominant,4,French,0,100,NA,0,NA,100,0,male,258,1.9473728890203497,0.6397149701979752,8.364285714285714,5.756668183196646,7
Montreal,2,P22,single,NA,monolingual,dominant,4,French,0,100,NA,0,NA,100,0,male,258,1.9507255632837508,0.5240115430260562,7.762,3.5626212260076144,5
Montreal,2,P22,switched,NA,monolingual,dominant,4,French,0,100,NA,0,NA,100,0,male,258,2.147116939743369,0.9482247904636166,11.86375,8.353933098504303,8
Montreal,1,P23,single,NA,monolingual,dominant,15,English,98,2,NA,0,NA,98,2,male,280,2.342958988751862,0.3575993766029131,10.9775,3.6152445086249503,8
Montreal,1,P23,switched,NA,monolingual,dominant,15,English,98,2,NA,0,NA,98,2,male,280,2.3063541015593003,0.40247720747685695,10.68375,3.633927184976921,8
Montreal,2,P23,single,NA,monolingual,dominant,15,English,98,2,NA,0,NA,98,2,male,280,1.845003324982056,0.37532719988593116,6.710000000000001,2.510035856317595,6
Montreal,2,P23,switched,NA,monolingual,dominant,15,English,98,2,NA,0,NA,98,2,male,280,1.8450321740974762,0.37039745738806323,6.7524999999999995,2.823512250473057,8
Montreal,1,P24,single,NA,monolingual,dominant,0,French,0,100,NA,0,NA,100,0,female,253,1.7920609580958802,0.6215005218294891,7.191666666666666,5.290362621471865,6
Montreal,1,P24,switched,NA,monolingual,dominant,0,French,0,100,NA,0,NA,100,0,female,253,1.7957528188642022,0.5178722243538378,6.6819999999999995,3.3950139911346464,5
Montreal,2,P24,single,NA,monolingual,dominant,0,French,0,100,NA,0,NA,100,0,female,253,1.6200596869066723,0.5402352776772926,5.745,3.1611525926923734,8
Montreal,2,P24,switched,NA,monolingual,dominant,0,French,0,100,NA,0,NA,100,0,female,253,1.4618069465020413,0.2820730163672951,4.47625,1.3825125935876936,8
NewJersey,2,P25,single,1,bilingual,non-dominant,11,English,60,NA,40,NA,NA,60,40,female,248,1.5140596634316255,0.48544680533877715,5.00375,2.185673727448162,8
NewJersey,2,P25,switched,1,bilingual,non-dominant,11,English,60,NA,40,NA,NA,60,40,female,248,1.385936644384915,0.7268369991784198,5.18375,4.516319416452801,8
Montreal,1,P26,single,NA,monolingual,dominant,1,English,96,0,NA,4,Italian,96,0,male,245,2.0788739449064284,0.662953245436018,9.61875,6.174399768398544,8
Montreal,1,P26,switched,NA,monolingual,dominant,1,English,96,0,NA,4,Italian,96,0,male,245,2.2093757473138678,0.4779788589321302,10.154285714285715,5.608484219296265,7
Montreal,1,P27,single,1,bilingual,dominant,5,English,70,30,NA,0,NA,70,30,male,299,2.070703235062195,0.5733156429623705,9.227500000000001,5.752261046132829,8
Montreal,1,P27,switched,1,bilingual,dominant,5,English,70,30,NA,0,NA,70,30,male,299,2.238462895376505,0.5404405694841425,10.698571428571428,6.193126374111406,7
Montreal,2,P27,single,NA,bilingual,dominant,5,English,70,30,NA,0,NA,70,30,male,299,2.488404910542145,0.45384955857249437,12.994,5.2523356709182245,5
Montreal,2,P27,switched,NA,bilingual,dominant,5,English,70,30,NA,0,NA,70,30,male,299,2.2507878064095275,0.6500961592868753,11.261666666666667,6.923916281026704,6
